idx,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,class,lat,lon,desc
173,0.2251,0.1479,0.0942,0.0908,0.0985,0.1271,0.1875,0.2137,0.2194,0.2538,0,-27.06269731,29.39608633,
174,0.2472,0.1495,0.1126,0.10205,0.0997,0.1278,0.21245,0.24675,0.2414,0.27565,0,-27.49425887,29.05779425,
175,0.3701,0.3211,0.1289,0.1384,0.1847,0.2045,0.2385,0.2638,0.2586,0.2908,0,-28.37432061,28.55718295,
176,0.2255,0.1593,0.1061,0.0938,0.0997,0.117,0.1586,0.1819,0.1828,0.2104,0,-26.83200746,28.81681189,
177,0.4213,0.33625,0.13345,0.1552,0.2131,0.2414,0.27915,0.30495,0.30595,0.32805,2,-27.6536338,28.08058804,
178,0.2654,0.17705,0.09515,0.08905,0.10115,0.11775,0.17065,0.19735,0.20135,0.231,0,-27.87343369,29.12482537,
179,0.2615,0.1726,0.1076,0.1103,0.1097,0.1474,0.2463,0.2884,0.2836,0.3199,0,-27.36364315,28.20755459,
180,0.2286,0.1592,0.10525,0.09715,0.09405,0.11465,0.16915,0.19065,0.18755,0.2118,2,-27.12205942,27.7588112,
181,0.2318,0.1316,0.1071,0.0999,0.0948,0.1312,0.2246,0.2702,0.2703,0.2915,2,-27.35121922,28.93170993,
182,0.32925,0.24455,0.14245,0.1529,0.18135,0.2045,0.2602,0.2921,0.2904,0.3262,0,-27.23199503,28.33801875,
183,0.32055,0.25675,0.1077,0.1171,0.148,0.16545,0.18495,0.20315,0.1984,0.2185,2,-27.97568951,29.11865907,
184,0.2454,0.1467,0.109,0.1003,0.1093,0.1282,0.179,0.2055,0.2027,0.2306,2,-26.94179089,29.3274826,
185,0.26055,0.17755,0.09375,0.0955,0.0972,0.1295,0.1933,0.2202,0.2182,0.24555,0,-27.84992234,29.11203356,
186,0.31165,0.23355,0.11225,0.1111,0.14255,0.1581,0.19645,0.2211,0.2214,0.2519,2,-26.87096292,27.80016215,
187,0.2281,0.1307,0.0962,0.0901,0.0819,0.1126,0.1749,0.1989,0.1931,0.2209,0,-27.40482249,28.48227573,
188,0.26305,0.15865,0.10445,0.09465,0.0987,0.1208,0.1606,0.17995,0.1812,0.2036,0,-28.2233026,28.94196971,
189,0.2918,0.1715,0.1121,0.1085,0.1166,0.1485,0.2447,0.2833,0.2832,0.3274,0,-27.71411098,28.41926492,
190,0.24055,0.14815,0.102,0.09545,0.0969,0.126,0.19605,0.2239,0.2266,0.2518,0,-27.17965364,29.46827337,
191,0.25845,0.1915,0.10485,0.0993,0.113,0.1362,0.19435,0.22165,0.2225,0.25975,0,-26.87542359,29.04613719,
192,0.29175,0.20895,0.1033,0.1025,0.1286,0.1513,0.1974,0.22255,0.2198,0.24995,0,-27.43842581,27.60432102,
