idx,label,scale,Longitude,Latitude,idx2,date,cropland,trees,grasses,shrubs,water,other,desc
76,Shrublands/shrub,,32.73014176220,0.37121102398,93,9-Jun-14,0,0,0,99,,1,
78,Shrublands/bananaplantations,,32.68403454710,0.35815330780,94,9-Jun-14,90,0,0,10,,0,
78,Rainfed-SC-Banana-SS,,32.65269789880,0.34604142352,95,9-Jun-14,95,2,0,0,,3,
79,Rainfed-SC-maize/banana/Shrublands,"B-20,M-20,T-20,SH-20,Gr-20",32.62766245850,0.40908752864,96,9-Jun-14,97,0,0,3,,0,
80,Shrublands/trees/grasses,,32.62059159360,0.42189152731,97,9-Jun-14,0,10,10,80,,2,
81,Rainfed-SC-banana/maize-MS,"Settlements-30, Banana-30, M-20, T-10",32.61323407200,0.43230672026,98,9-Jun-14,98,0,0,0,,2,
82,Shrublands/trees/grasses,LS,32.59344689470,0.44018433670,99,9-Jun-14,0,15,10,75,,,
84,Rainfed-SC-maize/banana-LS/Shrubs-50%,,32.58479765280,0.43857190973,100,9-Jun-14,98,0,0,2,,0,
82,Rainfed-maize-MS/shrubs/trees,"m-40,sh-20,gr-20,bana-10",32.55022177870,0.47037616596,101,9-Jun-14,90,3,0,7,0,0,
85,Rainfed-banana/maize/Shrublands,,32.53415171990,0.50432934624,102,9-Jun-14,100,0,0,0,0,0,
87,Shrublands/trees/maize-10,,32.53078030350,0.44470593709,103,9-Jun-14,10,10,0,80,,,
89,Settlements-trees,,32.56458806870,0.25255685596,104,9-Jun-14,0,0,0,0,,100,
90,Rainfed-SC-sugarcane-VLS,SC-100,32.54821749560,0.20341577663,105,9-Jun-14,100,0,0,0,,,
90,Rainfed-SC-maize/banana-shrubs-LS,,32.52569510280,0.14937619260,106,9-Jun-14,20,0,0,75,,5,
92,Shrublands(short),,32.50050834850,0.18142472956,107,9-Jun-14,0,0,0,100,,,
83,Shrublands (savannas),,32.44656844760,0.18596404331,108,9-Jun-14,0,0,0,100,,,
93,Rainfed-SC-maize/banana-MS,,32.42352493290,0.17202334590,109,9-Jun-14,100,0,0,0,,,
93,Shrublands/trees/grasses,,32.39171420690,0.16266462711,110,9-Jun-14,0,10,5,85,,,
94,Shrublands (grasses),,32.36433395200,0.19649467582,111,9-Jun-14,0,,,100,,,
95,Forests/trees/banana,,32.30060304800,0.20348012423,112,9-Jun-14,80,4,0,16,,0,
96,Savanna-Shrubs,,32.28454228010,0.18651389094,113,9-Jun-14,0,0,0,100,,,
96,Rangelands/hills,,32.31719502270,0.21447812441,114,9-Jun-14,0,0,0,100,,,
96,Rangleands/shrublands,,32.39441317340,0.25291609281,115,9-Jun-14,0,0,0,100,,0,
97,Rainfed-SC-banana/maize-MS,"M-30, B-30, sh-30,g-10",32.45159451670,0.28411200617,116,9-Jun-14,100,0,0,0,,,
98,Savanna (grass),,32.51111470290,0.30346113889,117,9-Jun-14,0,0,0,100,,0,
100,Rainfed-SC-maize-VLS,,34.14937572710,0.44728151397,118,10-Jun-14,95,4,0,0,,1,
101,Rangelands/wetlands,,34.21108706240,0.47945172736,119,10-Jun-14,0,0,0,100,,,
102,Rainfed-SC-sugarcane/maize-MS,"SC-30,M-30,T-20, Sh/gr-10",34.28385512030,0.46110422558,120,10-Jun-14,95,2,0,,,3,
105,Rainfed-SC-maize/sugarcane-VLS,"M-50,SC-50",34.34505842530,0.45146584921,121,10-Jun-14,92,3,0,0,5,,
300,Rainfed-SC-sugarcane-VLS,,34.35975284620,0.44083621055,122,10-Jun-14,100,0,0,0,,0,
300,Rainfed-SC-sugarcane/maize-LS,,34.39141653480,0.42787085615,123,10-Jun-14,100,0,0,0,,,
300,Rainfed-SC-sugarcane/maize-VLS,lowlands,34.46173327310,0.41433677061,124,10-Jun-14,96,2,0,0,,3,
108,Irrigated-SC-sugarcane-VLS,"VVLS, Ideal spectra",34.48467765550,0.37595707635,125,10-Jun-14,95,3,0,0,,2,
300,Irrigated-SW-sugarcance-VLS,,34.48363472900,0.36511064101,126,10-Jun-14,90,2,0,0,3,5,
300,Rainfed-SC-maize-LS,,34.49239531140,0.33820313797,127,10-Jun-14,94,2,0,0,,4,
107,Irrgated-SC-sugarcane-VLS,VLS,34.53411237040,0.33048548206,128,10-Jun-14,96,1,0,0,,3,
108,Rainfed-SC-sugarcane/maize-VLS,,34.57995162950,0.30979371956,129,10-Jun-14,97,1.5,0,0,,1.5,
300,Rainfed-SC-sugarcane-VLS,,34.64326008520,0.28670417303,130,10-Jun-14,99,1,0,0,,,
109,Rainfed-SC-sugarcance-MS,"SC-70,T-20,Sh-5,G-5",34.67418849260,0.27782520440,131,10-Jun-14,96,2,0,0,,2,
110,Shrublands/plantations,"T-30,m-30,sh-30,G-10",34.74974771150,0.23827578026,132,10-Jun-14,0,20,,80,,0,
111,Rainfed-SC-sugarcane/maize/tea-LS,,34.75683596970,0.17165693227,133,10-Jun-14,80,10,0,0,,10,
112,Rainfed-SC-maize/tea/trees-MS,"m-30,tea-30,T-20,",34.71706352630,0.07280204938,134,10-Jun-14,90,5,0,0,,5,
113,Shrublands/trees,,34.72707247430,0.05143442197,135,10-Jun-14,10,,0,88,,2,
300,Shrublands/trees/maize10,,34.72391322860,0.01675924494,136,10-Jun-14,10,20,0,70,,,
115,Shrublands/forests/maize10,"sh-50,T-20,M-30",34.76679359500,-0.04663110261,137,10-Jun-14,15,10,0,70,,5,
116,Irrigated-SW-Sugarcane-VLS,VVLS,34.82440279560,-0.04398911440,138,10-Jun-14,98,2,0,0,,,
117,Rainfed-SC-sugarcane-VLS,,34.86449560700,-0.05757428189,139,10-Jun-14,99,1,0,0,,0,
118,Rainfed-SC-sorghum/maize-LS,,34.84774970870,-0.10308324416,140,10-Jun-14,94,2,0,0,,4,
300,Rangelands_livestock,,34.84408202120,-0.11192365503,141,10-Jun-14,0,0,0,95,,5,
119,Rainfed-SC-sorghum/maize-MS,,34.84144415800,-0.12235241641,142,10-Jun-14,99,0,0,0,0,1,
120,Rainfed-SC-maize/sorghum0LS,,34.83462274000,-0.13972122244,143,10-Jun-14,98,1,0,0,,1,
300,Rainfed-SC-sorghum-VLS,,34.87231562390,-0.16974225786,144,10-Jun-14,97,1.5,0,0,0,1.5,
300,Irrrigated-SC-rice-VLS,,34.90999807430,-0.16930152745,145,10-Jun-14,100,0,0,0,,0,
125,Rtrangelands/shrubs/settlements,,34.94602778560,-0.18615946578,146,10-Jun-14,0,3,0,94,,3,
127,Irrigated-SC-rice-VLS,"Rice-100, Apr-Sep",34.95623911020,-0.21706659368,147,10-Jun-14,99,1,0,0,,,
128,Rangelands/trees,"gr-60,t-20,sh-20",34.96218897080,-0.24857881827,148,10-Jun-14,0,16,0,80,,4,
300,Rainfed-SC-sorghum-SS,,34.98157143970,-0.28124735471,149,10-Jun-14,97,1.5,0,0,,1.5,
130,Rainfed-SC-sorghum-SS,"So-30, sh-20,gr-30, open-20",34.99501998660,-0.30310124343,150,10-Jun-14,100,0,0,0,,,
