idx,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,class,lat,lon,desc
3925,5954,6488,7310,6531,6501,6292,6259,5471,3755,3246,3148,2672,2707,2513,2431,2287,2708,2980,3009,4716,5578,4672,5802,0,-29.63480078,28.11843998,
3942,4595,5794,7346,7308,7354,6522,6235,4390,3005,2638,2580,2201,2183,2114,2122,2007,2021,2004,1995,1954,2332,2358,2468,2,-26.58734864,27.77273957,
3945,5110,5065,6415,5377,6737,5701,4584,4169,3044,2757,2490,2367,2206,2232,2200,2051,2166,2290,2327,2856,3229,3824,4452,2,-28.49397239,27.89263737,
3946,5239,5817,5548,5230,6052,6281,5386,5287,3757,3083,2803,2473,2521,2424,2522,2204,2484,2702,3207,4734,4400,4860,5328,0,-27.74117093,27.999676,
3952,7474,4635,4471,4344,6533,6200,6580,5908,5488,4644,3610,3362,3591,3065,2884,2653,2605,2630,3079,3484,5640,5990,6497,0,-26.96883391,31.68917016,
3958,5537,4332,4889,3978,5961,6289,5942,5166,4419,3868,3541,3202,3296,3123,2866,2527,2491,3094,4871,4000,6174,4898,3754,0,-27.4754453,32.20190679,
3961,4741,5046,5662,5032,5249,5479,4456,4155,3458,2886,2553,2247,2333,1985,2117,2054,2040,2532,2868,4052,4436,4568,5382,0,-26.92240783,28.1622271,
3969,7423,4761,6046,6592,6091,5692,5519,4962,4350,4484,3573,3049,2752,2566,2553,2821,2558,2955,3694,4482,5189,4654,6084,0,-28.17935866,30.21826325,
3971,5426,5233,5437,6333,6251,5756,4455,4010,3137,2634,2585,2245,2561,2271,2126,1982,1929,2175,2077,2893,2824,3920,4003,0,-27.98563589,27.65013162,
3978,7282,7003,7026,5184,5998,5692,4791,4431,3207,2921,2718,2834,2513,2423,2678,2478,2315,2485,3614,4442,6511,6596,6141,0,-27.1056224,29.98142853,
3993,6147,5283,3553,6285,6337,5289,5502,4723,4787,3802,3034,3012,2902,2195,2739,2246,2492,3778,4302,4078,4222,4849,5720,0,-30.12095219,28.1820852,
3994,6979,5795,6475,5615,6571,6964,6012,5795,4427,4292,3828,4001,3393,3420,3231,2864,2986,3061,4184,4276,4374,3925,5952,0,-28.12568556,31.93415877,
3996,8415,8493,8398,8005,7509,7188,7399,7326,6928,6122,5077,4264,4037,3616,4495,4059,4584,5379,6285,7182,8042,8000,8062,0,-29.40041036,30.07853309,
4005,7396,7512,7438,6413,7048,6289,4927,3734,3538,3588,3492,2523,2456,2355,2332,2095,2654,2285,2413,4037,2237,3855,6015,0,-26.7540345,28.522306,
4009,8007,8276,7896,7582,6747,5762,4359,3480,3145,2916,2387,2568,2517,2354,2241,2107,2238,2321,2120,3003,2839,2584,3705,2,-28.18210201,28.71295541,
4010,4129,3938,4371,3933,4355,4262,4406,3650,3073,2993,2579,2408,2333,2241,2076,2128,2009,2194,2357,2869,2485,2619,3874,0,-28.58776757,30.1319155,
4012,7662,6631,6801,6537,5518,5256,4895,4334,3829,3331,3025,2631,2570,2545,2432,2391,2245,2603,2737,2888,4001,4033,6768,0,-26.66290158,29.86484614,
4020,5535,5830,5154,4186,5306,5126,5086,4497,3667,3340,3095,3178,3141,2943,2543,2450,2418,2411,3481,3585,4507,5126,5227,0,-26.72631559,31.6463979,
4027,6209,6404,6259,5729,6349,6626,6293,5767,5462,4709,4304,3994,4003,3482,3511,3303,2998,3494,4481,4766,5944,6121,6235,0,-27.82592745,31.55444326,
4030,4522,5906,6022,5818,6470,4508,3964,3109,2798,3074,2552,2376,2314,2340,2281,2065,2110,1977,2495,2262,2851,2992,7255,0,-27.28013085,29.130152,
4033,6683,5913,6028,5952,5946,5338,5277,4574,3526,3239,3009,2867,2645,2678,2541,2506,2587,2706,4249,6399,6249,6514,5962,0,-28.23912224,29.00863605,
4036,4543,4113,4995,4745,5375,5419,5807,5537,4404,3889,3714,3028,2834,2706,2567,2665,2382,2899,3864,3393,3690,3136,5140,0,-28.49149653,30.89578643,
4038,7852,6310,6776,6337,7000,6804,5663,4229,3558,2996,2949,2403,2454,2231,2243,2075,2099,2650,2678,3259,6631,6982,5799,0,-27.25441435,27.62652558,
4041,4598,5435,5225,4916,6000,5692,5441,4570,3604,3171,2760,2680,2637,2460,2328,2143,2098,2172,2606,2746,2999,3236,4650,0,-28.28593731,30.89417367,
4049,7517,7690,7835,7179,7192,6830,6767,7140,5952,5033,4469,4053,3893,3624,3738,3722,3210,3496,5616,6137,7073,6472,6011,0,-29.58458055,30.76201729,
4056,6060,6843,7534,6109,6868,6384,5273,4065,3043,2926,2582,2409,2382,2256,2227,2132,2155,2000,2053,1914,2310,2374,4929,2,-27.29051855,27.7656677,
4065,7999,7862,7753,7327,7723,8061,8279,7405,5180,4190,3961,3507,3191,3218,3072,3099,3125,3378,4616,5271,7487,7584,7966,0,-26.41962996,30.10173225,
4071,4109,3865,3670,4817,4397,4824,4129,3326,3036,2568,2553,2717,2427,2243,2406,2201,1995,2068,1959,2650,2645,2817,3209,0,-29.86355476,28.7714761,
4078,4229,4660,4151,4301,5238,4467,4071,4128,3537,3188,2921,2790,2459,2504,2734,2606,2413,2332,2400,2910,3215,3529,3687,0,-30.09516191,28.66757117,
4079,5878,4552,5706,6118,5583,4966,4555,3941,3329,2897,2840,2553,2681,2423,2373,2579,2500,2510,2513,3056,3146,3115,6007,0,-27.90112276,28.70447293,
4088,4365,4784,5629,6535,6263,6725,6708,5189,3707,3299,2850,2358,2297,2318,2140,2117,2140,2242,2575,2993,3228,3421,4643,0,-26.68567241,27.67006428,
4089,6730,5856,6990,6542,6575,6103,5716,5230,4024,3702,3276,3058,3079,2847,2709,2608,2263,3049,2923,5222,5074,5715,6221,0,-28.49339069,28.53510353,
4095,5792,6132,6756,6292,6662,6441,6228,5407,4879,4071,3769,2838,2681,2625,2638,2592,2645,2771,4227,5153,4868,4767,5711,0,-31.13189718,28.61666852,
4096,5239,5281,6063,5721,5273,5554,6276,5245,4740,4205,4064,3431,3250,2777,3010,2913,2628,2599,3385,2795,3504,3406,4526,0,-28.07595696,30.84123184,
4099,5350,4701,5797,5967,5103,5718,6231,6515,4346,4035,3340,3287,2916,2686,2273,2393,2079,2355,3057,3429,4100,3205,4125,0,-28.86929907,30.39369081,
4105,7051,6947,7303,7098,7517,7083,7145,6786,6156,5797,5013,4356,4504,5073,5065,5467,5055,5801,6340,6771,6707,6179,6962,0,-31.05962946,30.11599123,
4106,5796,6024,6520,5480,6042,5287,5082,4867,3246,2827,2697,2332,2252,2240,2090,1962,2127,2299,3571,4544,5005,6095,6358,0,-27.12407372,29.94444808,
