idx,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,BQA,amplitude,phase,class,croptype 
193,0.158584431,306.6296692,303.608551,0.139348224,0.121773198,0.121409848,0.267258883,0.260921717,0.177396297,0.113996856,0.001569362,20480,0.067709805,2.391862569,0,Others
194,0.12598227,301.8591919,299.7571716,0.100485489,0.08156158,0.067369044,0.263949305,0.181081697,0.09289562,0.066561952,0.001253996,20512,0.095032644,0.964317032,0,Others
195,0.160221562,308.6976318,305.0679626,0.139372289,0.119799018,0.119750872,0.219942749,0.285761237,0.221493363,0.11960642,0.0014835,20480,0.052811105,1.785255981,0,Others
196,0.099012718,303.2422485,302.7796631,0.077876046,0.064582758,0.03956759,0.307974875,0.171885788,0.085384443,0.054609139,0.001344055,20512,0.116811773,-1.049118596,0,Others
197,0.104140699,299.6647644,298.8252258,0.082434222,0.063000664,0.048288852,0.239282429,0.144172907,0.068952359,0.057993796,0.001332683,20512,0.065044338,-2.919104104,0,Others
198,0.174586371,303.2609863,300.5868835,0.17148459,0.156974003,0.157227904,0.197999954,0.212635607,0.189794347,0.140085176,0.00147084,20480,0.036007748,0.749415269,0,Others
199,0.119824275,307.2318726,306.3642273,0.105299287,0.096218809,0.096258059,0.180580631,0.208888829,0.152988404,0.095356807,0.001678011,20480,0.100595319,1.659759689,0,Others
200,0.152613744,305.2904053,302.6480408,0.132101536,0.107833564,0.095386595,0.235819295,0.231721401,0.155321822,0.102224,0.001907358,20480,0.154792773,1.769785187,0,Others
201,0.109591886,307.0712891,306.0061035,0.092007317,0.086386755,0.100931302,0.200328618,0.252004862,0.214217052,0.092314132,0.001462813,20480,0.114188008,1.714839885,0,Others
202,0.114740863,311.1845703,309.3113708,0.099630266,0.093362622,0.095065899,0.225384429,0.247245491,0.189521879,0.100065492,0.001273431,20480,0.148212584,1.331469417,0,Others
203,0.137466073,303.2865906,302.1496277,0.122223459,0.117039099,0.121635936,0.257479966,0.289647698,0.230757415,0.119496852,0.001366799,20480,0.088387875,1.790239389,1,Sugarcane
204,0.119563565,299.1759033,298.366333,0.097249784,0.091578007,0.070716776,0.286038935,0.152653128,0.086104736,0.083283022,0.001124057,20480,0.128795331,-0.714889301,1,Sugarcane
205,0.126101524,300.228363,297.7839661,0.104718506,0.097523592,0.072171099,0.308824092,0.179840341,0.105634913,0.088093542,0.001546566,20512,0.049870665,0.324946663,0,Others
206,0.11654371,305.2147827,303.9279175,0.09866073,0.083657399,0.083873883,0.173536077,0.23177886,0.171901852,0.079885483,0.001481956,20480,0.144267189,2.238234849,0,Others
207,0.1059248,305.2674866,303.4631348,0.087700218,0.083121628,0.061925191,0.280316204,0.210901245,0.123273365,0.076074526,0.001479737,20512,0.032485515,-0.594957782,0,Others
208,0.11065197,301.3338013,300.0924072,0.092593297,0.080742791,0.072854146,0.201977029,0.192959219,0.113671653,0.076992169,0.00158241,20496,0.110801697,2.168101697,0,Others
209,0.112756535,299.1033936,298.3125,0.09272477,0.084005445,0.06831681,0.255147159,0.199788347,0.108070269,0.078225911,0.001435657,20512,0.124440303,2.204415616,0,Others
