idx,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,class,latitude,longitude,desc
302,0.41335,0.3133,0.1558,0.1656,0.19675,0.23865,0.3145,0.35325,0.3445,0.38355,0,36.59687388,10.78905403,
41,0.31605,0.2159,0.14725,0.1517,0.167,0.19125,0.2705,0.3041,0.2892,0.328,0,36.69638889,9.339444444,
24,0.26505,0.17575,0.13155,0.1313,0.1368,0.14865,0.2302,0.2618,0.2591,0.2803,2,36.62087847,9.001459919,
30,0.3029,0.2196,0.1425,0.1498,0.178,0.2019,0.2662,0.2987,0.2792,0.3264,2,36.55594347,8.705814774,
32,0.2404,0.15155,0.12455,0.1171,0.1163,0.15085,0.2306,0.2697,0.25935,0.2911,2,36.51383598,8.605638619,
42,0.27525,0.197,0.1248,0.1182,0.12695,0.14845,0.1929,0.21455,0.20825,0.2317,2,36.59693246,9.529200167,
44,0.3328,0.233,0.1193,0.1293,0.1608,0.1908,0.2627,0.297,0.2858,0.3201,2,36.65651233,9.842458684,
48,0.4166,0.3041,0.1466,0.1636,0.2167,0.245,0.3011,0.3309,0.314,0.3536,2,36.698912,9.807922,
51,0.23325,0.1415,0.1176,0.11085,0.109,0.1409,0.24415,0.27735,0.26995,0.29325,2,36.60966608,9.525775728,
52,0.3209,0.2429,0.1217,0.1314,0.1649,0.1903,0.2568,0.2888,0.2849,0.3142,2,36.53901434,9.401000797,
58,0.45145,0.35945,0.19545,0.21765,0.26485,0.28905,0.3568,0.39375,0.3896,0.427,2,36.41238328,9.240116297,
76,0.4764,0.3378,0.198,0.2349,0.28965,0.32315,0.4016,0.43555,0.42685,0.4493,2,36.08333333,9.414722222,
91,0.3012,0.2117,0.137,0.1421,0.1556,0.1798,0.2312,0.26,0.2465,0.2785,2,36.62871145,10.38726494,
93,0.3123,0.2093,0.1226,0.1201,0.1319,0.1612,0.2394,0.2783,0.2784,0.3052,2,36.58983558,10.48038919,
95,0.3436,0.235,0.1334,0.1445,0.164,0.1825,0.239,0.2686,0.2592,0.2868,2,36.54649569,10.53898828,
98,0.376,0.29415,0.1532,0.17545,0.2193,0.23195,0.25625,0.27955,0.26735,0.2891,2,36.32338887,10.49128002,
99,0.3505,0.2643,0.1439,0.162,0.2001,0.2115,0.2882,0.3279,0.3118,0.3439,2,36.13741765,10.39153045,
102,0.3911,0.2978,0.1448,0.1581,0.1964,0.2142,0.2533,0.2808,0.2693,0.3072,2,36.0197177,10.32387483,
103,0.4302,0.3422,0.1494,0.1717,0.2332,0.2582,0.298,0.3298,0.314,0.3536,2,36.00132213,10.31123943,
106,0.4761,0.358,0.1819,0.2184,0.2813,0.2997,0.3466,0.379,0.3583,0.3937,2,35.8740325,10.22318197,
112,0.4137,0.3113,0.16625,0.1909,0.23055,0.25625,0.30875,0.34455,0.3273,0.371,2,35.81751385,9.993773023,
116,0.3373,0.24485,0.1303,0.13505,0.14685,0.17525,0.23005,0.25915,0.2513,0.28415,2,36.07777778,10.05472222,
117,0.4363,0.33955,0.16625,0.1887,0.23945,0.2572,0.30215,0.33685,0.3288,0.3641,2,36.13527778,10.06222222,
124,0.32475,0.2366,0.1437,0.1483,0.16535,0.1971,0.25895,0.2905,0.27685,0.31395,2,36.74087856,10.28834468,
127,0.29,0.1999,0.1341,0.1295,0.1493,0.1657,0.216,0.2447,0.2413,0.2714,2,36.69399601,10.42245846,
131,0.18455,0.09455,0.0996,0.09685,0.0685,0.12505,0.2795,0.34185,0.33215,0.3725,2,36.72987292,10.5444706,
135,0.328,0.2485,0.12135,0.1345,0.16315,0.18245,0.23095,0.26085,0.25665,0.27865,2,36.799759,10.63085563,
136,0.3818,0.28185,0.13265,0.1502,0.18265,0.22345,0.3094,0.3529,0.34405,0.37735,2,36.79648328,10.634238,
137,0.3207,0.2319,0.1224,0.1286,0.1449,0.16635,0.219,0.2484,0.24525,0.2703,2,36.82038439,10.66647101,
139,0.2868,0.1908,0.1162,0.1153,0.1204,0.1619,0.2582,0.2985,0.3011,0.3312,2,36.88233867,10.75681487,
140,0.2024,0.1467,0.11,0.1097,0.1073,0.1436,0.2574,0.3003,0.3256,0.3534,2,36.88888889,10.83361111,
152,0.3736,0.2883,0.16045,0.1759,0.2103,0.23225,0.28185,0.30765,0.2974,0.32855,2,36.64086651,10.12673695,
155,0.45735,0.3831,0.2116,0.24485,0.3001,0.3116,0.3409,0.36425,0.34975,0.3798,2,36.55442331,10.02346732,
160,0.29745,0.19895,0.1368,0.1422,0.1475,0.17795,0.2754,0.3159,0.309,0.34255,2,36.33402871,9.853473845,
174,0.3601,0.24555,0.1549,0.1781,0.2061,0.2435,0.2961,0.34105,0.3333,0.35505,2,35.75476986,9.017646822,
175,0.44805,0.3519,0.1914,0.22445,0.2931,0.30945,0.34635,0.3751,0.3594,0.3951,2,35.62649935,9.060646032,
176,0.3663,0.278,0.14875,0.1667,0.1963,0.21975,0.2774,0.3035,0.29,0.32475,2,35.55650657,9.069394315,
177,0.316,0.2254,0.1337,0.143,0.1607,0.1878,0.2726,0.30805,0.2912,0.33415,2,35.53060206,9.07479168,
178,0.3772,0.2982,0.13395,0.14435,0.1875,0.2015,0.2204,0.24265,0.23935,0.26865,2,35.37449829,9.105735465,
179,0.3731,0.28575,0.1489,0.1684,0.2122,0.2376,0.29365,0.31955,0.3147,0.3489,2,35.30674003,9.084410981,
181,0.4221,0.3564,0.15425,0.18625,0.2588,0.27595,0.31255,0.34145,0.3259,0.35825,2,35.25753612,9.098194444,
185,0.4718,0.3953,0.1795,0.2112,0.2853,0.30705,0.3468,0.3749,0.35855,0.3965,2,35.22861741,8.963189268,
186,0.4401,0.3455,0.1777,0.2108,0.2726,0.2908,0.3454,0.3802,0.3685,0.4006,2,35.14163447,8.765401812,
187,0.50415,0.40275,0.19475,0.23695,0.3334,0.36045,0.40145,0.43105,0.42325,0.4491,2,35.03886773,8.629591057,
188,0.3695,0.2832,0.1531,0.1804,0.2292,0.247,0.3039,0.3362,0.3339,0.3616,2,34.92399167,8.54705,
190,0.46725,0.3753,0.1724,0.2043,0.28005,0.3074,0.3587,0.38955,0.37505,0.4147,2,34.74535908,8.573270342,
191,0.3781,0.2906,0.1669,0.1886,0.2336,0.2531,0.3083,0.3413,0.3303,0.365,2,34.72337793,8.789707617,
192,0.3824,0.2924,0.1643,0.1905,0.2401,0.2634,0.3258,0.3604,0.346,0.3828,2,34.71842389,8.792968978,
193,0.4584,0.3641,0.1779,0.2123,0.284,0.3071,0.3483,0.3767,0.3568,0.393,2,34.68966559,8.812376724,
194,0.3458,0.2533,0.1507,0.1748,0.2118,0.25,0.3475,0.4002,0.3793,0.4243,2,34.63966748,8.840849929,
195,0.5216,0.4235,0.2062,0.2524,0.3462,0.3787,0.4393,0.4741,0.4502,0.4973,2,34.57261296,9.018402418,
196,0.36615,0.26175,0.16185,0.18545,0.21545,0.2548,0.3497,0.3965,0.37315,0.42145,2,34.47331455,9.044838545,
197,0.5423,0.4598,0.2006,0.2553,0.3739,0.3915,0.426,0.4588,0.431,0.4792,2,34.50765781,9.165434683,
198,0.517,0.4192,0.1964,0.2417,0.332,0.3515,0.3993,0.4343,0.412,0.4575,2,34.56684885,9.369168909,
199,0.56815,0.48245,0.1901,0.2478,0.37865,0.39455,0.4482,0.48205,0.45935,0.50645,2,34.57596751,9.488002438,
200,0.4464,0.333,0.177,0.2149,0.2843,0.319,0.4451,0.4985,0.4814,0.5171,2,34.58609735,9.538625707,
201,0.5325,0.4473,0.1784,0.2299,0.3452,0.3625,0.3964,0.429,0.4081,0.4476,2,34.61499662,9.6883244,
202,0.5872,0.49685,0.2027,0.2625,0.39585,0.4172,0.45725,0.488,0.4674,0.50805,2,34.61377838,9.875867075,
203,0.5821,0.5074,0.2011,0.2593,0.3875,0.4182,0.4601,0.4906,0.4729,0.5029,2,34.67758202,9.964666454,
204,0.5791,0.486,0.1717,0.2267,0.3617,0.3844,0.43045,0.46465,0.4465,0.4827,2,34.74561128,10.14026504,
205,0.5239,0.4433,0.1692,0.2109,0.3141,0.3365,0.3765,0.4196,0.3896,0.4426,2,34.75242737,10.21946134,
206,0.6071,0.4856,0.2457,0.3137,0.4418,0.4565,0.4918,0.5272,0.4962,0.5375,2,34.76091307,10.28516086,
207,0.4839,0.358,0.16645,0.2097,0.2924,0.32115,0.3687,0.3999,0.37135,0.41075,2,34.75100101,10.35092325,
208,0.42985,0.3155,0.15965,0.19335,0.25675,0.28025,0.3252,0.35835,0.3417,0.3733,2,34.73325,10.60116667,
209,0.52515,0.41985,0.16645,0.21035,0.31635,0.33805,0.3691,0.39405,0.38565,0.41415,2,34.75044469,10.65067283,
210,0.5053,0.4327,0.1683,0.2092,0.3068,0.3267,0.3689,0.3979,0.3864,0.4208,2,34.83795294,10.73134389,
211,0.4976,0.4259,0.1764,0.2142,0.3078,0.3348,0.3805,0.4153,0.4012,0.4452,2,34.85994623,10.80286742,
212,0.49045,0.3986,0.1852,0.2221,0.31625,0.3261,0.36175,0.39705,0.37205,0.4113,2,34.89703638,10.85227402,
213,0.4509,0.3534,0.1672,0.1929,0.2573,0.2762,0.3145,0.3418,0.3338,0.3727,2,35.05023483,10.90996091,
214,0.4487,0.3431,0.1647,0.1897,0.2661,0.2919,0.3339,0.3693,0.3593,0.3978,2,35.09264,10.90264647,
215,0.5047,0.40495,0.1898,0.23515,0.33255,0.3497,0.3819,0.41435,0.39475,0.4312,2,35.17184404,10.89993248,
216,0.4252,0.3389,0.1479,0.1702,0.2352,0.2583,0.2993,0.3313,0.3225,0.3536,2,35.28260138,10.97443191,
217,0.4037,0.3242,0.1345,0.1498,0.213,0.2331,0.2664,0.2951,0.2854,0.3186,2,35.39151791,10.99675635,
218,0.4402,0.3508,0.1369,0.1582,0.227,0.2474,0.2778,0.3039,0.2978,0.3299,2,35.48754502,10.97849528,
219,0.4304,0.3391,0.1427,0.1639,0.2262,0.2458,0.2684,0.295,0.2908,0.3138,2,35.43700441,10.83149286,
220,0.4795,0.3873,0.1711,0.2131,0.2809,0.3077,0.3518,0.3786,0.365,0.3941,2,35.49661178,10.63331095,
221,0.447,0.352,0.1549,0.1845,0.2521,0.2689,0.2976,0.3257,0.3144,0.3439,2,35.58850783,10.6142022,
222,0.3684,0.2821,0.1356,0.1487,0.1823,0.2044,0.2735,0.3131,0.297,0.3391,2,35.71374761,10.53249876,
230,0.265,0.1637,0.141,0.1462,0.1736,0.197,0.2873,0.3771,0.3799,0.4192,2,35.52537125,10.06040441,
231,0.5053,0.4111,0.1843,0.2242,0.3048,0.3301,0.3915,0.4246,0.4047,0.4433,2,35.36406531,10.04761691,
232,0.437,0.3442,0.1538,0.1861,0.2503,0.2737,0.3641,0.4142,0.3991,0.444,2,35.30845407,10.02825846,
233,0.5063,0.4189,0.1815,0.2217,0.3117,0.3313,0.3694,0.4072,0.3946,0.4241,2,35.23468748,10.04050044,
234,0.5121,0.41265,0.16785,0.2102,0.3176,0.34095,0.3931,0.4307,0.41865,0.4512,2,35.10726538,10.03601402,
235,0.5152,0.4134,0.1784,0.2197,0.3311,0.3544,0.3888,0.4168,0.4037,0.4316,2,35.05006676,10.0323279,
236,0.5403,0.4435,0.1684,0.2126,0.3261,0.3583,0.4047,0.4461,0.423,0.4626,2,35.0608139,9.991622319,
