description,idx,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B10,B11,B12,QA10,QA20,QA60,Cropland,Longitude,croptype,desc,invalid
,2048,1648,1531,1635.5,2088,2120,2301.5,2542.5,2414.5,2769.5,553,17.5,3764.5,2913,,,,85,9.617419297,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2047,1598.5,1408,1527,1731.5,1825,2043.5,2250.5,1991.5,2312,531.5,15,3056,2057.5,,,,95,9.603564028,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2158,1733.5,1994.5,1930,2057,2010.5,2382.5,2562,2811,2739,846,136.5,2708,1913.5,,,2048,0,9.759240807,Non-cropland,Forest planted (Eucalyptus),0
,2157,3161,2841,2700.5,2837,3077.5,3597.5,3891.5,3542,4018.5,2278,346,3228,2603,,,1024,0,9.798229909,Non-cropland,Forest (Pinus halepensis),0
,2217,2498,3142.5,2717,2911,3105,3669.5,3817.5,3853,3808.5,1494.5,277.5,3592.5,2372,,,1024,,9.853473845,Orchard,Irrigated-Orchards (olive) / Barren-SC-LS,0
,2134,1583.5,2093.5,1576,1612.5,1617.5,1718,1852.5,2230,1953.5,429,51.5,2438,1706.5,,,2048,99,9.877469605,Fodder,Irrigated- Fodder (Bersim)- SC- MS,0
,2182,4776.5,4757,4767.5,5340,5493.5,5694,6050.5,5690,6233,3471,680.5,5152.5,3903.5,,,1024,99,9.920576556,Oats,Rainfed-SC-oats-MS,0
,2181,4423.5,4455.5,4315.5,4652,4748,4820,4967,5078,5094,2902.5,503,3655.5,2828.5,,,1024,83,9.972834102,Oats,Rainfed-SC-oats/barley-LS,0
,2063,3196,2933.5,2776.5,2896.5,2995,3173,3331,3018,3483,1735,177.5,1559,1375.5,,,1024,100,10.06801152,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2062,4074,3956,3928,4239,4290,4467,4664,4508,4697,2491.5,282,2330,1811.5,,,1024,99,10.03966606,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2061,2276,2362.5,2295,2552.5,2622.5,2815.5,3031.5,2824,3167,1020,222.5,2671.5,1982,,,1024,94,10.02180472,Barley/Wheat,Rainfed-SC-wheat-MS,0
,2152,2174,2045.5,2159.5,2403.5,2416,2663,2884.5,2716.5,2975,917,129.5,2838.5,1943,,,1024,53,10.01890672,Non-cropland,Shrublands/hills/forest,0
,2076,2127,1847.5,2130,2593,2580,2821,3094,2934,3327,1078.5,160.5,3662,2967,,,2048,98,9.923051501,Barley/Wheat,Rainfed-wheat-SC-LS,0
,2133,1886.5,1737.5,1479,1771,1937.5,2140.5,2283,2181,2439.5,783,74,2916,2220.5,,,2048,100,9.932762362,Fodder,Rainfed-Fodder (Oat)- SC-LS,0
