idx,Longitude,Latitude,label,cropland,tree,grass,shrub,water,other,desc
121.000000,-10.761667,14.035000,Rainfed-SC-maize/sorghum/groundnut-MS,85,4,,10,,1,
122.000000,-10.803889,14.086111,Rainfed-SC-maize-MS,80,2,,15,,3,
123.000000,-10.881389,14.033056,Rangelands/shrublands,,,,100,,,
124.000000,-11.243889,14.224722,Rainfed-SC-sorghum/maize-SS,85,1.5,,3,,10.5,
125.000000,-11.315000,14.339167,Rainfed-SC-maize/sorghum-SS,90,0.5,,9.5,,,
126.000000,-11.360278,14.354444,Barrenlands/shrublands,,,,100,,,
127.000000,-11.409444,14.407500,Rainfed-SC-groundnut-MS,96,0.5,,2,,1.5,
128.000000,-11.375000,14.470556,Rangelands/shrublands,,,,100,,,
129.000000,-11.201917,14.492583,Rainfed-SC-sorghum/groundnut-LS,88,2,,8,2,0,
130.000000,-11.168889,14.508611,Rainfed-SC-sorghum-SS,96,0.5,,2,,1.5,
131.000000,-11.068056,14.531111,Shrublands/rangelands,,,,100,,,
132.000000,-11.029194,14.552917,Rainfed-SC-sorghum-MS,90,2,,8,,,
133.000000,-10.983889,14.556389,Rainfed-SC-sorghum-MS,70,2.5,,25,2,0.5,
134.000000,-10.958333,14.566944,Rainfed-SC-groundnut/maize-MS,98,,,,,2,
135.000000,-10.928389,14.574639,Rainfed-SC-sorghum-VLS,98,2,,,,,
136.000000,-10.901111,14.607778,Hills/shrublands/grasses,,,,100,,,
137.000000,-10.780444,14.649583,Rainfed-SC-sorghum-LS,97,0.5,,2,,0.5,
138.000000,-10.723611,14.650556,Shrublands,,,,100,,,
139.000000,-10.674722,14.641667,Barrenlands/shrublands,,,,99.5,0.5,,
140.000000,-10.541111,14.648889,Rainfed-SC-sorghum/groundnut-LS,70,2,1,15,1,11,
141.000000,-10.363889,14.688056,Rangleands/hills,,,,100,,,
142.000000,-10.230944,14.682361,Rainfed-SC-sorghum/maize-LS,79,5,1.5,4.5,,10,
143.000000,-10.039444,14.608056,Shrublands/rangelands,,,,100,,,
144.000000,-9.851389,14.510000,Rainfed-SC-sorghum-SS,40,,,60,,,
145.000000,-9.815000,14.517778,Rainfed-SC-sorghum/maize-MS,85,2,,10,,3,
146.000000,-9.721667,14.511111,Rainfed-SC-sorghum/maize-MS,83,1.5,0.5,5,,10,
147.000000,-9.647167,14.504778,Rainfed-SC-sorghum/millet/maize-MS,85,2,1,10,,2,
148.000000,-9.472500,14.546667,Rainfed-SC-sorghum/maize-VLS,90,3,,7,,,
149.000000,-9.440361,14.556000,Rainfed-SC-sorghum/millet-MS,90,5,1,4,,,
150.000000,-9.335833,14.558611,Rainfed-SC-sorghum/groundnut-LS,95,2,,3,,,
151.000000,-9.230000,14.550000,Rainfed-SC-sorghum/groundnut-LS,96,1,,,,3,
152.000000,-9.095556,14.545278,Rainfed-SC-sorghum/groundnut-LS,89,2,1,7,,1,
153.000000,-8.937222,14.511667,Rainfed-SC-sorghum-MS,90,1.5,1.5,7,,,
154.000000,-8.894222,14.509694,Rainfed-SC-sorghum/groundnut-VLS,90,1,,9,,,
155.000000,-8.833417,14.507222,Rainfed-SC-millet-LS,90,,,10,,,
156.000000,-8.595722,14.515444,Rainfed-SC-sorghum/groundnut-MS,90,,,10,,,
157.000000,-8.418889,14.461389,ShrubLand,,,,100,,,
158.000000,-8.395194,14.454250,Rainfed-SC-sorghum-LS,80,,,20,,,
159.000000,-8.305833,14.416944,Rainfed-SC-sorghum/groundnut-LS,85,2.5,2.5,10,,,
160.000000,-8.205556,14.369167,Rainfed-SC-sorghum/groundnut-LS,79,3,,8,,10,
161.000000,-8.142500,14.252778,Rainfed-SC-millet/maize-MS,84,1,,15,,,
162.000000,-8.035861,14.106500,Rainfed-SC-millet/sorghum-LS,85,1.5,0.5,8,,5,
163.000000,-8.070306,13.965056,Rainfed-SC-millet-LS,98,1,1,,,,
164.000000,-8.086667,13.882222,Rainfed-SC-millet-LS,70,2.5,0.5,5,,22,
165.000000,-8.051389,13.813056,Rangelands/shrublands,,,,100,,,
166.000000,-8.044167,13.773333,Rainfed-SC-sorghum-MS,93,1.5,0.5,5,,,
167.000000,-8.014083,13.728194,Rainfed-SC-sorghum/millet-LS,96,1.5,,2,,0.5,
168.000000,-8.036361,13.660778,Rainfed-SC-sorghum/maize/groundnut-LS,96,0.5,0.5,2,,1,
169.000000,-8.039944,13.611833,Rainfed-SC-groundnut-VLS,95,1.5,,4.5,,,
170.000000,-8.040278,13.556944,Rainfed-SC-sorghum-LS,99,1,,,,,
171.000000,-8.055000,13.522222,Rainfed-SC-sorghum-LS,97,3,,,,,
172.000000,-8.015000,13.432500,Rainfed-SC-sorghum-LS,80,2.5,0.5,17,,,
173.000000,-8.004167,13.397583,Rainfed-SC-groundnut/sorghum-MS,94,2,,4,,,
174.000000,-7.954722,13.290278,Rainfed-SC-groundnut/sorghum-MS,60,6,1,20,,13,
175.000000,-7.933056,13.204722,Rainfed-SC-sorghum-LS,75,2,0.5,2.5,,20,
176.000000,-7.949167,13.070833,Rainfed-SC-sorghum/maize-LS,90,3,,,,7,
177.000000,-8.010833,12.989444,Rainfed-SC-sorghum-LS,95,4,,,,1,
178.000000,-8.057500,12.928333,Rainfed-SC-rice-SS,70,2.5,0.5,25,,2,
179.000000,-8.086944,12.882778,Rainfed-SC-maize-MS,98,2,,,,,
180.000000,-8.110833,12.804722,Rainfed-SC-maize-LS,97,1.5,,,,1.5,
