idx,B3,B4,B5,crop,nd,slope,type
684,0.15233395,0.17381646,0.3025474,1,-0.04530671,2.3137398,Crop
685,0.16234094,0.20507734,0.35869822,1,-0.021898197,0.92740995,Crop
686,0.17964229,0.19903825,0.3887456,1,-0.006917258,4.691877,Crop
687,0.17723113,0.20836261,0.3315393,1,-0.02482141,9.247749,Crop
688,0.18445323,0.21529865,0.32329875,1,0.02502383,3.6135473,Crop
689,0.17419446,0.21708111,0.35230115,1,-0.015191625,2.951305,Crop
690,0.18069808,0.2136163,0.3494044,0,-0.014874591,12.739046,Non-Crop
691,0.17425865,0.21175854,0.33508137,1,-0.02934715,2.1799178,Crop
692,0.16428515,0.19913498,0.33972457,1,0.002973377,1.1553546,Crop
693,0.19618721,0.23067063,0.41399094,1,-0.004690286,4.3596125,Crop
694,0.20237406,0.25166422,0.39709473,1,-0.006413617,3.903673,Crop
695,0.19676416,0.25070027,0.35950226,1,-0.012299782,2.2947736,Crop
696,0.14217861,0.15036063,0.2765607,0,-0.039538782,7.13169,Non-Crop
697,0.18165043,0.21518227,0.34185335,1,0.00134864,6.0514946,Crop
698,0.20573923,0.2525132,0.38486177,1,-0.003605316,1.1473525,Crop
699,0.19090988,0.22329141,0.32710883,0,-0.018675692,2.181801,Non-Crop
700,0.12202961,0.086357355,0.11385586,0,-0.06781356,0,Non-Crop
701,0.17766348,0.18555449,0.31541532,0,-0.011679752,10.03151,Non-Crop
702,0.20076326,0.24617472,0.34695995,0,-0.013964289,5.547545,Non-Crop
703,0.19191892,0.22495958,0.34387454,0,-0.009934084,2.1811216,Non-Crop
704,0.24367017,0.27859533,0.34384468,0,0.007610512,2.3117518,Non-Crop
705,0.19615868,0.2354642,0.32300508,1,-0.00923404,2.1803284,Crop
706,0.16496307,0.16513714,0.19872697,0,-0.029554237,3.8806124,Non-Crop
707,0.1721383,0.19853555,0.31963402,0,-0.016808676,5.060026,Non-Crop
708,0.2140533,0.23962429,0.3245507,0,-0.007153608,1.8543341,Non-Crop
709,0.2103687,0.26104724,0.40107536,1,-0.005978905,1.4750454,Crop
710,0.14855145,0.1651657,0.3035117,0,-0.034588102,10.6456785,Non-Crop
711,0.118914865,0.13085203,0.26460484,0,-0.05589245,22.634605,Non-Crop
712,0.16320267,0.20164496,0.31334773,0,-0.032107186,4.7661586,Non-Crop
713,0.16132602,0.20243396,0.33890232,1,-0.039120167,1.8543341,Crop
714,0.14946371,0.1703963,0.3010096,1,-0.025966598,2.9567027,Crop
715,0.18746968,0.21049005,0.34842187,0,-0.008388542,9.452077,Non-Crop
716,0.13590923,0.14471103,0.30576852,0,-0.039597813,8.0214405,Non-Crop
717,0.1796164,0.20977414,0.33334258,1,-0.011432953,3.9068832,Crop
718,0.1965344,0.2583678,0.3909434,1,-0.009835718,2.1799538,Crop
719,0.12149441,0.1426269,0.26648223,0,-0.052891143,6.8583083,Non-Crop
720,0.15906651,0.1696541,0.30245143,0,-0.02623948,8.082592,Non-Crop
721,0.17618822,0.2032558,0.33641225,0,-0.009202618,3.008915,Non-Crop
722,0.20077103,0.23935218,0.36678478,0,-0.008819466,2.4753435,Non-Crop
723,0.20176147,0.25007084,0.3632822,0,-0.005411066,5.7586837,Non-Crop
724,0.13945882,0.14003435,0.29715234,0,-0.034371663,7.2014084,Non-Crop
725,0.18522686,0.21738496,0.29621306,0,-0.020412074,3.8782144,Non-Crop
726,0.17912845,0.23772816,0.37663502,0,0.003023615,4.767936,Non-Crop
727,0.17787327,0.2132241,0.31244394,0,-0.026684415,1.1568646,Non-Crop
728,0.20288752,0.21916096,0.30464277,0,-0.021754837,0,Non-Crop
729,0.13706985,0.14115365,0.28706786,1,-0.037791863,1.4824989,Crop
730,0.16534665,0.20321798,0.30044067,0,-0.031520076,3.4422448,Non-Crop
731,0.17777433,0.22496065,0.32946867,0,-0.02498411,3.0075104,Non-Crop
732,0.13785765,0.15035415,0.2594914,0,-0.055456743,17.728998,Non-Crop
733,0.17875731,0.21384875,0.34849334,1,-0.01417915,2.1842265,Crop
734,0.15801655,0.19907615,0.36195356,1,-0.018076085,0.92740995,Crop
735,0.1396643,0.14829011,0.27448758,0,-0.047370233,4.6808205,Non-Crop
736,0.17329718,0.19338343,0.33252496,0,-0.015486117,0,Non-Crop
737,0.1691756,0.19016254,0.3490565,0,-0.02061596,1.4799638,Non-Crop
738,0.20296352,0.26730365,0.40625006,1,0.010245903,3.010038,Crop
739,0.17290129,0.20755261,0.34515876,1,-0.014696864,1.1558211,Crop
740,0.20836635,0.24094139,0.3689813,1,-0.002459909,3.4661412,Crop
741,0.20232639,0.2469021,0.37838355,0,0.004942134,3.8787708,Non-Crop
742,0.12795204,0.09325737,0.045391217,0,-0.05599036,0,Non-Crop
