idx,SV01,SV02,SV03,SV04,SV05,SV06,SV07,SV08,SV09,SV10,SV11,SV12,SV13,SV14,SV15,SV16,SV17,SV18,SV19,SV20,SV21,SV22,SV23,Cropland,Longitude,Orchards,SoilCover,grasses,id,l1,l2,label,other,pcrop,scrop,shrubs,trees,water
11,0.304204397,0.401042217,0.550250586,0.640605944,0.650807619,0.654521489,0.648524862,0.513709369,0.3633865,0.232270428,0.151748183,0.140083841,0.14489628,0.156430008,0.16034568,0.160325187,0.155479859,0.153730193,0.153730193,0.153730193,0.13626973,0.150217114,0.152885294,99,9.713313324,,,0,10,cropland,Rainfed,Rainfed-SC-fababean-LS,0.5,Fababean,,0,0.5,0
14,0.626665227,0.62948068,0.637290173,0.636640109,0.629080445,0.61069057,0.578854423,0.547728708,0.552775912,0.560338967,0.550862836,0.54672255,0.50922056,0.457114582,0.457114582,0.457114582,0.495963688,0.539353254,0.591958648,0.586595737,0.581683317,0.465407295,0.387724372,0,9.522460054,,,0,13,Non-cropland,,Shrublands/hills/forest,0,,,100,0,0
15,0.348736557,0.404663526,0.570127857,0.720617999,0.731891751,0.731891751,0.733883643,0.641515395,0.500000266,0.3786787,0.311776888,0.26716334,0.234387352,0.222102483,0.220996199,0.227671004,0.236681446,0.226443952,0.221264389,0.206567384,0.192003938,0.144548621,0.10441938,97,9.473855612,,,0.5,14,cropland,Rainfed,Rainfed-SC-fababean/wheat-LS,0.5,Fababean,,1.5,0.5,0
1098,0.212243875,0.210676396,0.210511941,0.209564148,0.216892578,0.216892578,0.216892578,0.193102399,0.180826438,0.174616768,0.167109503,0.156181191,0.155492702,0.155492702,0.158027996,0.168906273,0.191551191,0.195987595,0.195987595,0.192187484,0.182975571,0.181391,0.181391,,9.165434683,60,40,0,197,cropland,Rainfed,Rainfed-orchards (olive)/Barren-SC-LS,0,Olive Orchard,Barren,0,0,0
1097,0.273141473,0.273141473,0.273141473,0.276797757,0.290180761,0.301975422,0.304640864,0.304640864,0.304640864,0.308557006,0.308315612,0.306788354,0.298658326,0.291104767,0.288214695,0.288214695,0.288214695,0.310600175,0.334900133,0.339416742,0.339416742,0.330325285,0.31146814,10,9.044838545,50,27,0,196,cropland,irrigated,Irrigated-Orchards (olive)/Barren-SC-MS,8,Olive Orchard,Barren,5,0,0
1095,0.471851461,0.443265811,0.397979715,0.375749243,0.365642134,0.365642134,0.368626009,0.378161054,0.395529471,0.41108136,0.395870907,0.395870907,0.385175569,0.393166279,0.397629201,0.412026428,0.41506297,0.417672323,0.420974162,0.430535589,0.469709724,0.495276451,0.495276451,20,8.840849929,50,30,0,194,cropland,irrigated,Irrigated-Orchards (olive)/Barren-SC-LS,0,Olive Orchard,Barren,0,0,0
1096,0.142696897,0.138965474,0.168485716,0.184115446,0.21920871,0.223688871,0.223688871,0.223193513,0.198586241,0.187329169,0.1809335,0.175902178,0.173395312,0.174520451,0.174065429,0.172425167,0.172609467,0.184324578,0.19504045,0.22118781,0.242466979,0.247624429,0.253725578,21,9.018402418,45,30,0,195,cropland,irrigated,Irrigated-Orchards (olive/amendier)/Barren-DC-SS,3,Olive/Almond Orchard,Barren,0,1,0
1092,0.302449784,0.298200186,0.298778912,0.319418956,0.349358371,0.357484251,0.357484251,0.357484251,0.322318433,0.295087006,0.282097646,0.282097646,0.282097646,0.295505667,0.304786375,0.304993977,0.316342397,0.323043955,0.341128038,0.381981733,0.40195527,0.396354901,0.390588023,,8.789707617,60,40,0,191,cropland,irrigated,Irrigated-Orchards (olive)/Barren-SC-LS,0,Olive Orchard,Barren,0,0,0
1094,0.215082356,0.219811192,0.231925097,0.242880176,0.243483407,0.244130835,0.239271251,0.217292018,0.190724924,0.17135129,0.167097967,0.166949887,0.167863694,0.169354996,0.169288678,0.169598001,0.172658863,0.172658863,0.173166948,0.17761529,0.186456267,0.194113504,0.195948286,95,8.812376724,,,0,193,cropland,irrigated,Irrigated-Orchards (amendier)/Barren-SC-LS,5,Amendier Orchard,Barren,0,0,0
1093,0.267673956,0.272505505,0.281788556,0.309369397,0.321417496,0.321417496,0.321417496,0.317234406,0.316652246,0.315158314,0.30560698,0.296696083,0.280566422,0.284745285,0.285841888,0.299298206,0.307355806,0.307355806,0.302922313,0.29463805,0.281160271,0.280945658,0.280945658,,8.792968978,60,40,0,192,cropland,irrigated,Irrigated-Orchards (olive)/Fodder-DC-MS,0,Olive Orchard,Barren,0,0,0
1091,0.21422276,0.201805821,0.201609452,0.201609452,0.212997177,0.229286527,0.231510745,0.232632492,0.235034032,0.235034032,0.238227227,0.239135231,0.239135231,0.2371686,0.228115983,0.227174533,0.227174533,0.22899307,0.246222168,0.246222168,0.246222168,0.194666636,0.141194865,10,8.573270342,50,35,0,190,cropland,irrigated,Irrigated-Orchards (olive)/Barren-SC-MS,5,Olive Orchard,Barren,0,0,0
